,time,open,high,low,close,Volume,SMA_5,SMA_15,VMA_5,VMA_15,EMA_5,EMA_15,Diff,up,down,avg_20up,avg_20down,avg_60up,avg_60down,RS_20,RS_60,RSI_20,RSI_60,RSI_ratio,EMA_26,EMA_12,MACD_line,MACD_signal,MACD,STD_5,Upper Bollinger Band,Lower Bollinger Band,high_low,high_prevClose,low_prevClose,TrueRange,ATR_12,ATR_3,stop_loss
0,2022-12-05 09:00:00,18728.6,18728.6,18601.35,18602.4,67655979,,,,,18602.4,18602.4,,,,,,,,,,,,,18602.4,18602.4,0.0,0.0,0.0,,,,127.25,,,127.25,,,
1,2022-12-05 10:00:00,18603.15,18633.75,18591.35,18626.55,34621047,,,,,18610.45,18605.41875,24.149999999997817,24.149999999997817,0.0,,,,,,,,,,18604.18888888889,18606.115384615387,-1.9264957264967961,-0.38529914529935927,-1.5411965811974369,,,,42.400000000001455,31.349999999998545,11.05000000000291,42.400000000001455,,,
2,2022-12-05 11:00:00,18626.7,18654.5,18620.3,18646.0,25078907,,,,,18622.300000000003,18610.491406250003,19.450000000000728,19.450000000000728,0.0,,,,,,,,,,18607.286008230454,18612.251479289942,-4.965471059487754,-1.3013335281370382,-3.664137531350716,,,,34.20000000000073,27.950000000000728,6.25,34.20000000000073,,67.95000000000073,
3,2022-12-05 12:00:00,18645.6,18719.0,18645.2,18683.05,39351097,,,,,18642.550000000003,18619.561230468753,37.04999999999927,37.04999999999927,0.0,,,,,,,,,,18612.89815576894,18623.14355939918,-10.245403630240617,-3.090147548557754,-7.155256081682863,,,,73.79999999999927,73.0,0.7999999999992724,73.79999999999927,,50.133333333333816,
4,2022-12-05 13:00:00,18682.8,18694.05,18635.4,18643.75,32172516,18640.35,,39775909.2,,18642.950000000004,18622.58482666016,-39.29999999999927,0.0,39.29999999999927,,,,,,,,,,18615.183477563834,18626.313781030076,-11.130303466241457,-4.698178732094495,-6.432124734146963,29.569473279042086,18699.48894655808,18581.211053441915,58.64999999999782,11.0,47.64999999999782,58.64999999999782,,55.54999999999927,
5,2022-12-05 14:00:00,18643.4,18688.4,18629.95,18673.5,45629997,18654.57,,35370712.8,,18653.13333333334,18628.94922332764,29.75,29.75,0.0,,,,,,,,,,18619.503219966515,18633.57319933314,-14.069979366624466,-6.57253885900049,-7.497440507623976,23.157574354842627,18700.885148709684,18608.254851290316,58.45000000000073,44.650000000001455,13.799999999999272,58.45000000000073,,63.63333333333261,
6,2022-12-05 15:00:00,18673.6,18723.6,18673.6,18694.05,43802895,18668.07,,37207082.4,,18666.772222222226,18637.086820411685,20.549999999999272,20.549999999999272,0.0,,,,,,,,,,18625.0252036727,18642.877322512657,-17.852118839957257,-8.828454855191843,-9.023663984765413,22.401969779464437,18712.87393955893,18623.26606044107,50.0,50.099999999998545,0.09999999999854481,50.099999999998545,,55.73333333333236,
24,2022-12-06 09:00:00,18628.6,18640.35,18577.9,18630.0,46638645,18664.870000000003,,41519030.0,,18654.51481481482,18636.200967860226,-64.04999999999927,0.0,64.04999999999927,,,,,,,,,,18625.39370710435,18640.896195972247,-15.502488867896318,-10.16326165773274,-5.339227210163578,27.011261540329304,18718.89252308066,18610.847476919345,62.44999999999709,53.70000000000073,116.14999999999782,116.14999999999782,,74.89999999999903,18617.541666666664
25,2022-12-06 10:00:00,18629.75,18648.05,18612.7,18633.7,28766652,18655.0,,39402141.0,,18647.576543209878,18635.8883468777,3.7000000000007276,3.7000000000007276,0.0,,,,,,,,,,18626.008988059584,18639.789088899593,-13.780100840009254,-10.886629494188043,-2.8934713458212116,27.714639633236327,18710.42927926647,18599.57072073353,35.349999999998545,18.049999999999272,17.299999999999272,35.349999999998545,,67.1999999999983,18617.549999999996
26,2022-12-06 11:00:00,18634.0,18634.5,18599.3,18603.2,27746827,18646.89,,38517003.2,,18632.78436213992,18631.802303517987,-30.5,0.0,30.5,,,,,,,,,,18624.319433388504,18634.159998299656,-9.840564911151887,-10.67741657758081,0.8368516664289238,36.40131178955224,18719.692623579103,18574.087376420895,35.20000000000073,0.7999999999992724,34.400000000001455,35.20000000000073,,62.23333333333236,18618.35
